Company name,Business Fields,Founded date,Size,Address,Quant,City,Job Field,Job Position,Experienced,Salary
MOMO,1,2007,2,1,10,1,1,Data Analyst Intern,1,4500000
MOMO,1,2007,2,1,10,1,2,Research Analyst Intern,1,4500000
TELIO,2,2018,1,2,1,2,2,Product Intern,1,6000000
TELIO,2,2018,1,2,1,2,1,Software Engineer Intern,1,8000000
TELIO,2,2018,1,2,3,2,3,Data Analyst Intern,1,3000000
TELIO,2,2018,1,2,1,2,4,Human Resources Intern,1,6000000
TELIO,2,2018,1,2,2,2,4,Human Resources Intern,1,6000000
TELIO,2,2018,1,2,1,1,5,Purchasing Intern,2,5000000
TELIO,2,2018,1,2,20,2,1,Software Engineer Intern,2,8000000
BASE,2,2016,2,2,1,1,4,Human Resources Intern,1,4500000
BASE,2,2016,2,2,1,1,3,Sales Intern,1,4500000
BASE,2,2016,2,2,100,1,3,Business Consultant,2,5000000
APPOTA,3,2011,2,2,5,2,6,Content Marketing Intern,2,4500000
APPOTA,3,2011,2,2,2,2,6,Content Marketing Intern,2,4500000
APPOTA,3,2011,2,2,1,2,4,Human Resources Intern,1,4500000
HOMEBASE,4,2019,1,1,1,3,7,Finance & Accounting Intern,1,4600000
HOMEBASE,4,2019,1,1,1,3,4,Human Resources Intern,2,4600000
HOMEBASE,4,2019,1,1,1,3,6,Marketing Intern,1,4600000
HOMEBASE,4,2019,1,1,1,3,1,Software Engineer Intern,2,4600000
HOMEBASE,4,2019,1,1,1,3,3,Sales Intern,1,4500000
HOMEBASE,4,2019,1,1,1,3,4,Corporate Development and M&A Intern,1,4600000
HOMEBASE,4,2019,1,1,1,3,8,Operation Intern,2,4600000
HOMEBASE,4,2019,1,1,1,3,3,Sales Intern,2,4600000
ON POINT,2,2016,1,1,100,1,3,Management Trainee,1,4500000
ON POINT,2,2016,1,1,1,1,3,Business Analyst Intern,2,3420000
COOLMATE,2,2019,1,2,1,1,6,Marketing Intern,1,3000000
COOLMATE,2,2019,1,2,1,1,8,Customer Service Intern,1,3000000
COOLMATE,2,2018,1,2,1,2,4,Human Resources Intern,1,4000000
EVEREST EDUCATION,5,2011,4,1,1,1,2,Product Management,1,4500000
VIETCETERA,6,2016,1,1,1,1,9,International Editorial Intern,2,4000000
VIETCETERA,6,2016,1,1,1,1,9,Event Intern,2,2000000
VN PAY (VNLIFE),1,2007,2,2,2,2,4,Human Resources Intern,2,4500000
SAPO (VNLIFE),2,2008,3,2,1,2,4,Human Resources Intern,1,4500000
FINHAY,1,2017,1,2,2,2,2,UX/UI Design Intern,2,4500000
ELSA,5,2015,2,1,1,1,7,Finance & Accounting Intern,1,4500000
ELSA,5,2015,1,1,1,1,3,Customer Service Intern,2,4500000
ELSA,5,2015,1,1,1,1,1,Software Engineer Intern,1,4500000
ELSA,5,2015,1,1,1,1,6,Content Marketing Intern,2,4500000
JOBHOPIN,3,2017,1,1,1,1,4,Human Resources Intern,1,4500000
JOBHOPIN,3,2017,1,1,1,1,6,Marketing Intern,2,4500000
TOPICA 5 GROUP,5,2008,4,2,1,2,6,Content Marketing Intern,2,2000000
TOPICA 5 GROUP,5,2008,4,2,2,2,4,Human Resources Intern,1,2000000
KIOVIET (CITIGO),3,2014,4,2,1,2,3,Business Intern,1,2000000
KIOVIET (CITIGO),3,2014,4,2,2,1,6,Internal Communication Intern,1,4500000
KIOVIET (CITIGO),3,2014,4,2,1,2,6,Content Marketing Intern,1,4000000
KIOVIET (CITIGO),3,2014,4,2,1,2,9,Graphic Design Intern,1,4000000
KIOVIET (CITIGO),3,2014,4,2,1,2,7,Finance & Accounting Intern,1,4000000
Got IT,3,2012,1,2,1,2,1,Software Engineer Intern,1,4500000
Got IT,3,2012,1,2,1,2,6,Content Marketing Intern,2,2500000
SENDO,2,2012,2,1,1,1,4,Human Resources Intern,1,4500000
TIKI,2,2010,3,1,1,1,6,Marketing Intern,2,4500000
TIKI,2,2010,3,1,2,1,7,Finance & Accounting Intern,1,4500000
TIKI,2,2010,3,1,2,1,4,Human Resources Intern,2,4500000
TIKI,2,2010,3,1,1,1,1,Growth Analysis Intern,2,4500000
TIKI,2,2010,3,1,1,1,2,Product Management,2,4500000
TIKI,2,2010,3,1,1,1,7,Finance & Accounting Intern,1,4500000
TIKI,2,2010,3,1,1,1,5,Engagement & Admin Intern,1,4500000
TIKI,2,2010,3,1,1,1,3,Sales Intern,1,4500000
KATALON,3,2008,3,1,1,1,1,Security Engineer Intern,2,4500000
KATALON,3,2008,3,1,1,1,8,Operation Intern,1,4500000
KATALON,3,2008,3,1,1,1,4,Human Resources Intern,1,4500000
CỐC CỐC,7,2010,2,2,1,1,7,Account Intern,2,4000000
CỐC CỐC,7,2010,2,2,1,2,9,Multimedia Intern,2,5000000
LOGIVAN,7,2017,2,2,1,2,3,Customer Service Intern,2,4500000
LOGIVAN,7,2017,2,2,1,2,10,Logistics Purchasing,2,4500000
LOGIVAN,7,2017,2,2,1,2,8,Operation Intern,2,4500000
TEKO (VNLIFE),3,2017,3,2,1,2,1,Software Engineer Intern,2,6000000
TEKO (VNLIFE),3,2017,3,2,1,2,1,Quality Control,2,6000000
AGILETECH,3,2015,1,2,1,2,2,UX/UI Design Intern,2,4500000
AGILETECH,3,2015,1,2,1,2,1,Tester Intern,1,4500000
AGILETECH,3,2015,1,2,100,2,3,Business Analyst Intern,1,4000000
AGILETECH,3,2015,1,2,1,2,1,Software Engineer Intern,1,4500000
AGILETECH,3,2015,1,2,3,2,1,Blockchain Intern,1,4500000
AGILETECH,3,2015,1,2,1,2,6,Marketing Intern,1,5000000
AGILETECH,3,2015,1,2,1,2,4,Human Resources Intern,1,4000000
ONE MOUNT,3,2019,5,3,1,2,1,Software Engineer Intern,1,4500000
ONE MOUNT,3,2019,5,3,1,2,1,Data Analyst Intern,1,4500000
ONE MOUNT,3,2019,5,3,100,2,6,Marketing Intern,1,4500000
TDT ASIA,1,2017,1,2,100,2,3,Business Analyst Intern,1,4500000
TDT ASIA,1,2017,1,2,100,2,4,Human Resources Intern,1,2000000
TDT ASIA,1,2017,1,2,10,2,4,Human Resources Intern,1,2000000
TDT ASIA,1,2017,1,2,3,2,1,Software Engineer Intern,2,2000000
TDT ASIA,1,2017,1,2,2,2,1,Software Engineer Intern,2,6000000
TDT ASIA,1,2017,1,2,5,2,1,Software Engineer Intern,1,6000000
BSS GROUP,2,2012,1,2,10,2,1,Software Engineer Intern,2,3000000
"OPEN COMMERCE GROUP
(Shopbase, Printbase)",2,2014,2,3,10,2,2,Product Management,1,4500000
"OPEN COMMERCE GROUP
(Shopbase, Printbase)",2,2014,2,3,10,2,4,Human Resources Intern,1,3000000
POSITIVE THINKING COMPANY,3,2014,4,1,2,1,1,Software Engineer Intern,2,6000000
POSITIVE THINKING COMPANY,3,2014,4,1,1,1,4,Human Resources Intern,1,4500000
KYANON DIGITAL,3,2012,2,1,15,1,6,Marketing Intern,1,2000000
KYANON DIGITAL,3,2012,2,1,1,1,1,Software Engineer Intern,1,2000000
VNG CORPORATION,3,2012,4,1,1,1,6,Marketing Intern,1,4500000
VNG CORPORATION,3,2012,4,1,1,1,2,Product Operations,1,4500000
VNG CORPORATION,3,2012,4,1,100,1,2,Product Management,1,4500000
BAEMIN VIETNAM,3,2019,2,1,15,1,4,Human Resources Intern,1,4500000
BAEMIN VIETNAM,3,2019,2,1,1,1,1,Data Analyst Intern,1,5000000
BAEMIN VIETNAM,3,2019,2,1,1,1,5,Inbound Acquisition,2,5000000
POINT AVENUE,5,2018,1,2,1,2,5,Test Prep Intern,2,4000000
POINT AVENUE,5,2018,1,2,1,2,5,Winter Camp Intern,2,4000000
ADAMO.DIGITAL,3,2016,1,2,4,2,6,Marketing Intern,1,5000000
ADAMO.DIGITAL,3,2016,1,2,7,2,1,Software Engineer Intern,2,5000000
ADAMO.DIGITAL,3,2016,1,2,1,2,1,Software Engineer Intern,1,5000000
SECOMUS,3,2014,1,2,2,2,6,Marketing Intern,1,1500000
SECOMUS,3,2014,1,2,1,2,1,Software Engineer Intern,2,6000000
FIIN GROUP,1,2008,2,2,3,2,3,Business Analyst Intern,2,4500000
SMART OSC,2,2006,3,2,1,2,3,Business Analyst Intern,1,6000000
SMART OSC,2,2006,3,2,6,2,6,Content Marketing Intern,1,4500000
SMART OSC,2,2006,3,2,1,2,1,Software Engineer Intern,1,6000000
SMART OSC,2,2006,3,2,1,2,1,Tester Intern,1,6000000
SOTATEK JSC,3,2015,2,2,100,2,1,Software Engineer Intern,1,4500000
TECHVIFY,3,2018,2,2,1,2,1,Software Engineer Intern,2,11000000
TRUE MONEY,1,2016,1,2,1,2,3,Business Analyst Intern,2,4500000
CHỢ TỐT,3,2013,2,1,1,1,3,Business Analyst Intern,2,5000000
CHỢ TỐT,3,2013,2,1,1,1,4,Human Resources Intern,2,5000000
CHỢ TỐT,3,2013,2,1,1,1,6,SEO Intern,1,5000000
MISA,7,1994,3,2,100,2,1,Software Engineer Intern,1,3000000
MISA,7,1994,3,2,1,2,4,Human Resources Intern,1,5000000
CMC GLOBAL,3,1993,5,2,1,2,4,Human Resources Intern,2,4500000
CMC GLOBAL,3,1993,5,2,1,2,3,Business Intern,1,4500000
VNP GROUP,2,2006,3,2,1,2,1,Data Analyst Intern,1,5500000
VNP GROUP,2,2006,3,2,3,2,1,Software Engineer Intern,1,4000000
VNP GROUP,2,2006,3,2,1,2,1,Software Engineer Intern,1,4000000
VNP GROUP,2,2006,3,2,5,2,6,Content Marketing Intern,1,4000000
CON CƯNG,2,2012,5,1,1,1,4,Human Resources Intern,1,5000000
CON CƯNG,2,2012,5,1,1,1,7,Finance & Accounting Intern,1,5000000
CON CƯNG,2,2012,5,1,1,1,5,Purchasing Intern,1,4000000
VNG CORPORATION,3,2004,5,3,1,1,1,QC Intern,2,4500000
VNG CORPORATION,3,2004,5,3,1,1,1,Software Engineer Intern,2,4500000
VNG CORPORATION,3,2004,5,3,1,1,4,Human Resources Intern,1,4500000
VNG CORPORATION,3,2004,5,3,100,1,1,Software Engineer Intern,1,9000000
VNG CORPORATION,3,2004,5,3,1,1,1,System Intern,1,4500000
VNG CORPORATION,3,2004,5,3,1,1,1,Network Intern,1,4500000
CỐC CỐC,3,2010,2,3,1,2,6,Marketing Intern,2,9000000
CỐC CỐC,3,2010,2,3,1,2,9,Multimedia Intern,2,5000000
CỐC CỐC,3,2010,2,3,1,2,1,Software Engineer Intern,2,11000000
CỐC CỐC,3,2010,2,3,1,1,6,Account Intern,2,4000000
CỐC CỐC,3,2010,2,3,1,2,4,Human Resources Intern,2,4000000
PROPZY,4,2014,3,1,1,1,6,Marketing Intern,1,5000000
PROPZY,4,2014,3,1,1,1,8,Operation Intern,1,4500000
DIGIWORLD,3,1997,2,3,100,1,3,Management Trainee,2,4500000
ITS GLOBAL,3,2020,2,2,3,2,1,Software Engineer Intern,2,4000000
ITS GLOBAL,3,2020,2,2,3,2,1,Software Engineer Intern,1,4000000
ITS GLOBAL,3,2020,2,2,3,2,1,Software Engineer Intern,1,4000000
ITS GLOBAL,3,2020,2,2,3,2,3,Comtor Intern,2,4000000
ITS GLOBAL,3,2020,2,2,5,2,1,Software Engineer Intern,2,4000000
NCC VIETNAM,3,2014,1,2,6,2,1,Software Engineer Intern,1,4600000
NCC VIETNAM,3,2014,1,2,5,2,1,Software Engineer Intern,1,4600000
NCC VIETNAM,3,2014,1,2,5,2,1,Software Engineer Intern,1,4600000
NCC VIETNAM,3,2014,1,2,6,2,1,Software Engineer Intern,1,4600000
NCC VIETNAM,3,2014,1,2,7,2,1,Tester Intern,1,7000000
VIETELITE EDUCATION,7,2018,1,2,1,2,4,Human Resources Intern,1,5000000
VIETELITE EDUCATION,7,2018,1,2,1,2,1,Software Engineer Intern,1,6000000
SELEX MOTOR,7,2018,1,2,2,2,4,Human Resources Intern,1,4000000
SELEX MOTOR,7,2018,1,2,2,2,2,Purchasing Intern,1,4000000
SELEX MOTOR,7,2018,1,2,2,2,7,Account Intern,1,4000000
MUNKAS AGENCY,7,2016,1,1,1,1,6,Content Marketing Intern,2,5000000
MUNKAS AGENCY,7,2016,1,1,2,1,6,Account Intern,1,5000000
